BODYTYPE ,MAKE ,GENERIC MODEL ,BATTERY TYPE,CAPACITY(KWH),TOTAL_CAPACITY(KWH),MINERALS(KGS),2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,TOTAL
CARS,CITROEN,CITROEN C-ZERO,Lithium-ion,14.50,3523.50,10864.13,0,0,0,0,0,24,0,0,63,110,46,0,243
CARS,FORD,FORD FOCUS,Lithium-ion,28.25,593.25,1829.19,0,0,0,0,5,0,0,11,5,0,0,0,21
CARS,HYUNDAI,HYUNDAI IX35,Lithium-ion,24.00,120.00,370.00,0,0,0,0,0,0,5,0,0,0,0,0,5
CARS,KIA,KIA XCEED,Lithium-ion,44.50,10368.50,31969.54,94,139,0,0,0,0,0,0,0,0,0,0,233
CARS,KIA,KIA OPTIMA,Lithium-ion,12.53,9898.70,30520.99,0,41,144,147,220,238,0,0,0,0,0,0,790
CARS,LEVC,LEVC TX,Lithium-ion,31.00,155.00,477.92,0,5,0,0,0,0,0,0,0,0,0,0,5
CARS,MERCEDES,MERCEDES B CLASS,Lithium-ion,28.00,16660.00,51368.33,0,0,0,0,130,282,183,0,0,0,0,0,595
CARS,MERCEDES,MERCEDES B CLASS,Lithium-ion,28.00,14840.00,45756.67,332,81,0,0,0,0,0,0,0,0,0,0,413
CARS,MIA,MIA C,Lithium-polymer,12.00,96.00,296.00,0,0,0,0,0,0,0,0,8,0,0,0,8
CARS,MITSUBISHI,MITSUBISHI I-MIEV,Lithium-ion,16.00,4112.00,12678.67,0,0,0,0,0,0,0,0,0,107,124,26,257
CARS,MITSUBISHI,MITSUBISHI OUTLANDER,Lithium-ion,12.90,693749.10,2139059.73,1992,3414,5989,8556,7408,9372,11686,5362,0,0,0,0,53779
CARS,PEUGEOT,PEUGEOT 307,Lead-acid,22.50,517.50,1595.63,0,0,0,0,0,0,0,0,0,0,23,0,23
CARS,PEUGEOT,PEUGEOT EXPERT,Lithium-ion,62.50,437.50,1348.96,0,0,0,0,0,0,0,0,0,0,0,7,7
CARS,PEUGEOT,PEUGEOT ION,Lithium-ion,16.00,7280.00,22446.67,0,0,0,5,10,33,20,18,26,223,120,0,455
CARS,PORSCHE,PORSCHE 918,Lithium-ion,6.80,401.20,1237.03,0,0,0,0,0,0,53,6,0,0,0,0,59
CARS,RENAULT,RENAULT FLUENCE,Lithium-ion,22.00,1562.00,4816.17,0,0,0,0,0,0,0,0,7,64,0,0,71
CARS,REVA,REVA G-WIZ,Lead-acid,13.00,364.00,1122.33,0,0,0,0,0,0,0,0,0,0,7,21,28
CARS,SEAT,SEAT MII,Lithium-ion,36.80,54427.20,167817.20,1183,296,0,0,0,0,0,0,0,0,0,0,1479
