VEHICLE TYPE,MAKE,GENERIC MODEL,BODY TYPE,BATTERY TYPE,CAPACITY(KWH),2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,TOTAL
CARS,KIA,KIA XCEED,HATCHBACK,LITHIUM-ION,44.5,94,139,0,0,0,0,0,0,0,0,0,0,233
CARS,KIA,KIA OPTIMA,SEDAN,LITHIUM-ION,12.53,0,41,144,147,220,238,0,0,0,0,0,0,790
CARS,LEVC,LEVC TX,SEDAN,LITHIUM-ION,31,0,5,0,0,0,0,0,0,0,0,0,0,5
CARS,MERCEDES,MERCEDES B CLASS,HATCHBACK,LITHIUM-ION,28,0,0,0,0,130,282,183,0,0,0,0,0,595
CARS,MERCEDES,MERCEDES B CLASS,HATCHBACK,LITHIUM-ION,28,332,81,0,0,0,0,0,0,0,0,0,0,413
CARS,MIA,MIA C,HATCHBACK,LITHIUM-POLYMER,12,0,0,0,0,0,0,0,0,8,0,0,0,8
CARS,MITSUBISHI,MITSUBISHI I-MIEV,ELECTRIC CAR,LITHIUM-ION,16,0,0,0,0,0,0,0,0,0,107,124,26,257
CARS,MITSUBISHI,MITSUBISHI OUTLANDER,SUV,LITHIUM-ION,12.9,1992,3414,5989,8556,7408,9372,11686,5362,0,0,0,0,53779
CARS,PEUGEOT,PEUGEOT 307,SEDAN,LEAD-ACID,22.5,0,0,0,0,0,0,0,0,0,0,23,0,23
CARS,PEUGEOT,PEUGEOT EXPERT,MINIVAN/VAN,LITHIUM-ION,62.5,0,0,0,0,0,0,0,0,0,0,0,7,7
CARS,PEUGEOT,PEUGEOT ION,ELECTRIC CAR,LITHIUM-ION,16,0,0,0,5,10,33,20,18,26,223,120,0,455
CARS,PORSCHE,PORSCHE 918,SPORTS CAR,LITHIUM-ION,6.8,0,0,0,0,0,0,53,6,0,0,0,0,59
CARS,RENAULT,RENAULT FLUENCE,SEDAN,LITHIUM-ION,22,0,0,0,0,0,0,0,0,7,64,0,0,71
CARS,REVA,REVA G-WIZ,ELECTRIC CAR,LEAD-ACID,13,0,0,0,0,0,0,0,0,0,0,7,21,28
CARS,SEAT,SEAT MII,HATCHBACK,LITHIUM-ION,36.8,1183,296,0,0,0,0,0,0,0,0,0,0,1479
CARS,SKODA,SKODA CITIGO,HATCHBACK,LITHIUM-ION,36.8,54,289,0,0,0,0,0,0,0,0,0,0,343
CARS,TESLA,TESLA ROADSTER,ELECTRIC CAR,LITHIUM-ION,61.5,0,0,0,0,0,0,0,0,0,8,19,47,74
CARS,TOYOTA,TOYOTA BZ4X,SUV,LITHIUM-ION,71,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,TOYOTA,TOYOTA PRIUS,HYBRID CAR,NICKEL-METAL HYDRIDE (NIMH),1.3,0,0,0,795,3673,2942,0,0,0,0,0,0,7410
CARS,VAUXHALL,VAUXHALL AMPERA,ELECTRIC CAR,LITHIUM-ION,16.6,0,0,0,0,0,0,108,529,251,452,0,0,1340
CARS,VOLKSWAGEN,VOLKSWAGEN XL1,HYBRID CAR,LITHIUM-ION,5.5,0,0,0,0,0,0,20,0,0,0,0,0,20
CARS,VOLVO,VOLVO V60,STATION WAGON,LITHIUM-ION,11.6,0,0,0,20,194,284,114,163,75,0,0,0,850
HEAVY GOODS VEHICLES,FORD,FORD TRANSIT,MINIVAN/VAN,LITHIUM-ION,79.5,0,0,0,0,0,0,0,0,0,0,0,0,0
HEAVY GOODS VEHICLES,FIAT,FIAT DUCATO,MINIVAN/VAN,LITHIUM-ION,63,0,0,0,0,0,0,0,0,0,0,0,0,0
HEAVY GOODS VEHICLES,MAXUS,MAXUS DELIVER,MINIVAN/VAN,LITHIUM-ION,61.75,27,0,0,0,0,0,0,0,0,0,0,0,27
HEAVY GOODS VEHICLES,MITSUBISHI FUSO,MITSUBISHI FUSO CANTER,MINIVAN/VAN,LITHIUM-ION,76,0,0,0,9,0,0,0,0,0,0,0,0,9
